,grape_name,acidity,alcohol_percentage,body,sweetness,tannins,dominant_flavors,food_pairings
16,cabernet franc,medium-high acidity,11.5–13.5% ABV,medium body,dry,medium-high tannins,"['strawberry', ' raspberry', ' bell pepper', ' crushed gravel', ' chili pepper']","[['higher', 'acidity'], ['make', 'possible', 'pair'], ['cabernet'], ['franc'], ['tomatobased', 'dish'], ['vinegarbased', 'sauce'], ['smoky'], ['bbq', 'anyone'], ['rich', 'legume'], ['black', 'beluga'], ['lentil']]"
17,cabernet sauvignon,medium acidity,13.5–15% ABV,full body,dry,medium-high tannins,"['black cherry', ' black currant', ' cedar', ' baking spices', ' graphite']","[['rich', 'flavor'], ['high', 'tannin'], ['content'], ['cabernet'], ['sauvignon'], ['make', 'perfect', 'partner'], ['grilled', 'meat'], ['peppery'], ['sauce', 'dish']]"
18,carignan,medium-high acidity,13.5–15% ABV,medium body,dry,medium tannins,"['dried cranberry', ' raspberry', ' tobacco leaf', ' baking spices', ' cured meat']","[['work'], ['cinnamonspiced', 'dish'], ['berrybased', 'sauce'], ['smoky'], ['meat'], ['word'], ['amazing'], ['choice'], ['holiday'], ['fare']]"
19,,,,,,,,
20,catarratto,medium acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['lemon', ' apple', ' peach', ' dried flowers', ' honey']","[['local', 'fare'], ['indigenous', 'grape'], ['sicilian', 'vegetable', 'dish', 'antipasti'], ['fish', 'vongole'], ['pasta']]"
21,catawba,medium-high acidity,10–11.5% ABV,medium body,off-dry,none tannins,"['grape', ' watermelon candy', ' strawberry jam', ' violet', ' petrol']","[['anything'], ['pair'], ['coke', 'icecold', 'try'], ['burger'], ['french', 'fry'], ['southern', 'barbecue'], ['kung'], ['pao', 'beef'], ['pepperoni', 'pizza']]"
22,chardonnay,medium acidity,13.5–15% ABV,medium body,dry,none tannins,"['yellow apple', ' starfruit', ' pineapple', ' vanilla', ' butter']","[['spice'], ['flavor'], ['intensity'], ['low'], ['creamy', 'buttery'], ['texture'], ['wine'], ['worthy', 'lobster'], ['higherend', 'wine', 'california', 'burgundy', 'australia'], ['bolder'], ['wine'], ['call'], ['crab'], ['cake'], ['linguini', 'vongole'], ['clam'], ['halibut'], ['apple'], ['vegetarian', 'lean', 'towards'], ['rich'], ['vegetable'], ['like', 'corn'], ['pumpkin'], ['squash'], ['mushroom'], ['chile'], ['new'], ['zealand'], ['part'], ['france'], ['lean', 'oak'], ['style'], ['great', 'raw', 'seafood'], ['like', 'oyster'], ['sushi'], ['sautéed', 'fish', 'pâté'], ['chicken'], ['piccata'], ['vegetable', 'risotto', 'moules'], ['crispness', 'minerality'], ['delicate', 'flavor'], ['crisp', 'food']]"
23,chasselas,medium-high acidity,11.5–13.5% ABV,light body,bone-dry,none tannins,"['red apple', ' apple blossom', ' melon', ' mint', ' smoke']","[['cheese', 'fondue', 'next', 'level'], ['texture', 'wine', 'match'], ['acidity'], ['slice'], ['fat'], ['palate'], ['fresh']]"
24,chenin blanc,high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['quince', ' yellow apple', ' pear', ' chamomile', ' honey']","[['wide', 'range'], ['style'], ['hard', 'pin'], ['perfect'], ['pairing'], ['chenin'], ['asian', 'delightful']]"
25,concord,medium acidity,13.5–15% ABV,medium-full body,off-dry,medium tannins,"['grape', ' plum sauce', ' musk', ' potting soil', ' cumin']","[['strong', 'grapey'], ['flavour', 'something'], ['flavoured', 'sought', 'think'], ['barbeque'], ['sweeter'], ['sauce']]"
26,cinsault,medium acidity,11.5–13.5% ABV,medium-light body,dry,low tannins,"['raspberry', ' red currant', ' tart cherry', ' violet', ' black tea']","[['escargot'], ['said', 'due', 'spicy'], ['fruity'], ['smoky', 'character'], ['stew'], ['boeuf'], ['bourguignon']]"
27,colombard,high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['green apple', ' honeydew', ' white peach', ' lemongrass', ' almond']","[['often', 'blended', 'sauvignon'], ['blanc'], ['tart'], ['white', 'pair'], ['fair', 'salad'], ['sushi']]"
28,cortese,medium-high acidity,11.5–13.5% ABV,light body,bone-dry,none tannins,"['meyer lemon', ' gala apple', ' honeydew', ' seashell', ' almond']","[['excellent', 'wine'], ['pair'], ['food'], ['inspired', 'northern', 'italian', 'coastal', 'cuisine'], ['fragrant', 'pesto'], ['pasta'], ['seafood', 'dish', 'basil'], ['lemon']]"
29,corvina,medium-high acidity,13.5–15% ABV,medium body,dry,low tannins,"['tart cherry', ' cinnamon', ' chocolate', ' green peppercorn', ' green almond']","[['italian'], ['nailed', 'regional', 'food'], ['wine'], ['pairing'], ['game'], ['think', 'local', 'antipasti'], ['salumi'], ['bruchetta'], ['rich', 'stew'], ['fish', 'dish'], ['fare']]"
30,,,,,,,,
31,encruzado,medium acidity,11.5–13.5% ABV,medium body,bone-dry,none tannins,"['grapefruit', ' lemon zest', ' hazelnut', ' ginger', ' resin']","[['oakaged', 'wine'], ['offer'], ['richness'], ['pair'], ['succulent', 'light'], ['meat'], ['grilled', 'fish', 'try'], ['resinous', 'herb'], ['rosemary', 'parsley'], ['thyme'], ['andor'], ['oregano']]"
32,godello,medium-high acidity,13.5–15% ABV,light body,bone-dry,none tannins,"['grapefruit', ' lemon zest', ' quince', ' crushed gravel', ' saline']","[['dish', 'feature'], ['cilantro'], ['lime'], ['chance'], ['pair']]"
33,dolcetto,medium-low acidity,11.5–13.5% ABV,medium-full body,dry,low tannins,"['plum', ' blackberry', ' cocoa', ' black pepper', ' violet']","[['italy'], ['classic', 'food'], ['wine'], ['richer', 'darker'], ['meat'], ['vegetable', 'dish'], ['roasted', 'tomato', 'eggplant', 'garlic']]"
34,erbaluce,high acidity,11.5–13.5% ABV,light body,bone-dry,none tannins,"['starfruit', ' gooseberry', ' white pepper', ' honeydew', ' almond']","[['vinified', 'white', 'table', 'wine'], ['dish', 'pair'], ['crispness', 'body'], ['salad', 'antipasti', 'light', 'seafood'], ['fit']]"
35,falanghina,medium acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['lemon', ' citrus blossom', ' peach', ' honey', ' almond']","[['great', 'match'], ['scallop'], ['prawn'], ['clam'], ['try'], ['dish', 'lemon', 'garlic'], ['parsley']]"
36,,,,,,,,
37,fiano,medium acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['honeydew', ' asian pear', ' hazelnut', ' orange peel', ' pine']","[['flavorful', 'white', 'wine'], ['like', 'match'], ['savory'], ['light', 'meat'], ['orangerosemary'], ['roasted', 'chicken', 'soyglazed', 'salmon']]"
38,frappato,medium acidity,11.5–13.5% ABV,medium-light body,dry,low tannins,"['dried strawberry', ' pomegranate', ' white pepper', ' tobacco', ' clove']","[['red', 'pepper'], ['sundried', 'tomato'], ['find', 'perfect', 'fall'], ['harvest'], ['food'], ['like', 'roast'], ['turkey'], ['cranberry'], ['sauce']]"
39,friulano,high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['grapefruit', ' green pear', ' white peach', ' tarragon', ' crushed gravel']","[['great', 'choice'], ['green'], ['vegetable'], ['wine'], ['stand'], ['bean', 'artichoke', 'cabbage', 'brussels']]"
40,furmint,high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['meyer lemon', ' green apple', ' ginger', ' smoke', ' pepperocini']","[['green', 'spicy'], ['flavor'], ['acidity'], ['complement'], ['herbcrusted', 'poultry'], ['fish', 'try'], ['delicate'], ['asian', 'dish'], ['like', 'sushi']]"
41,gaglioppo,medium acidity,11.5–13.5% ABV,medium body,bone-dry,medium-high tannins,"['raspberry', ' red currant', ' clay pot', ' leather', ' tobacco']","[['great', 'match'], ['italian', 'fare'], ['pasta', 'bolognese', 'spaghetti'], ['pomodoro', 'tomato', 'sauce'], ['margherita'], ['pizza'], ['pair'], ['light', 'dark', 'meat']]"
42,gamay,medium-high acidity,10–11.5% ABV,medium-light body,dry,none tannins,"['pomegranate', ' blackberry bramble', ' violet', ' potting soil', ' peony']","[['red', 'wine'], ['pair'], ['manner'], ['dish', 'sweet', 'sour', 'salmon'], ['steak'], ['beef'], ['stroganoff'], ['sesame'], ['tempeh']]"
43,garganega,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['peach', ' honeydew', ' tangerine', ' marjoram', ' saline']","[['soave', 'lighter'], ['meat'], ['tofu'], ['fish'], ['find', 'home'], ['around', 'food'], ['flavored', 'citrus'], ['tarragon'], ['aromatic', 'green', 'herb']]"
44,,,,,,,,
45,,,,,,,,
46,loureiro,high acidity,10–11.5% ABV,light body,dry,none tannins,"['grapefruit', ' lime', ' lime blossom', ' bay leaf', ' saline']","[['semiaromatic', 'nature'], ['wine'], ['textural', 'weight'], ['flavourful', 'food'], ['try'], ['salt'], ['cod', 'fish', 'soup'], ['classic', 'portuguese', 'fare']]"
47,grechetto,medium-high acidity,11.5–13.5% ABV,medium-light body,bone-dry,none tannins,"['white peach', ' honeydew', ' strawberry', ' wild flowers', ' seashell']","[['landlocked', 'province'], ['umbria', 'preclude'], ['excellently', 'tuna', 'steaklike'], ['seafare']]"
48,grenache,medium acidity,Over 15% ABV,medium-full body,dry,medium tannins,"['stewed strawberry', ' grilled plum', ' leather', ' dried herbs', ' blood orange']","[['high', 'intensity'], ['flavor'], ['match'], ['roasted', 'meat'], ['vegetable'], ['spiced', 'asian', 'cumin']]"
49,grenache blanc,medium-low acidity,13.5–15% ABV,medium body,bone-dry,none tannins,"['green plum', ' pear', ' lemon zest', ' honeysuckle', ' toast']","[['great', 'choice'], ['steaklike'], ['fish'], ['tuna', 'steak'], ['swordfish'], ['grilled', 'snapper'], ['mahi']]"
50,grillo,medium-high acidity,11.5–13.5% ABV,medium-light body,bone-dry,none tannins,"['grapefruit', ' citrus blossom', ' thyme', ' minerals', ' saline']","[['fuller'], ['funky'], ['alternative', 'pinot'], ['grigio'], ['slight', 'herbal', 'note'], ['bright', 'acidity'], ['seafood'], ['vegetable', 'dish'], ['pasta']]"
51,,,,,,,,
52,,,,,,,,
53,malbec,medium-low acidity,13.5–15% ABV,full body,dry,medium tannins,"['red plum', ' blackberry', ' vanilla', ' sweet tobacco', ' cocoa']","[['blue', 'cheese', 'brings'], ['fruitiness', 'try'], ['burger', 'mikko'], ['kuhna'], ['unlike', 'cabernet'], ['long', 'finish', 'making'], ['great', 'choice'], ['leaner'], ['red', 'meat'], ['ostrich', 'anyone'], ['wonder'], ['melted', 'blue', 'cheese']]"
54,malvasia fina,medium-low acidity,13.5–15% ABV,medium-light body,sweet,none tannins,"['white peach', ' wild flowers', ' green almond', ' basil', ' seashell']","[['regional', 'fare'], ['answer'], ['grilled', 'fish', 'dish', 'shellfish', 'salt'], ['cod'], ['braised', 'rabbit'], ['interesting', 'avenue'], ['explore']]"
55,marsanne,medium-low acidity,13.5–15% ABV,medium body,dry,none tannins,"['quince', ' mandarin orange', ' apricot', ' acacia', ' beeswax']","[['rich', 'fruity'], ['pair'], ['shellfish'], ['think', 'shrimp', 'citrus'], ['note'], ['make', 'great', 'counterpoint'], ['south', 'asian', 'cuisine'], ['eg'], ['thai'], ['viet']]"
56,melon,high acidity,10–11.5% ABV,light body,bone-dry,none tannins,"['lime', ' seashell', ' green apple', ' pear', ' bread dough']","[['clam', 'mussel'], ['pan'], ['little', 'garlic', 'parsley'], ['butter'], ['splash'], ['muscadet'], ['find', 'wine', 'perfect', 'seafood']]"
57,,,,,,,,
58,merlot,medium acidity,13.5–15% ABV,medium-full body,bone-dry,medium-high tannins,"['cherry', ' plum', ' chocolate', ' bay leaf', ' vanilla']","[['great', 'wine', 'play'], ['match'], ['wide', 'variety'], ['food'], ['afraid', 'experiment'], ['tuesday', 'night'], ['easy', 'drinking'], ['entrylevel'], ['think', 'pizza'], ['bbq'], ['chicken'], ['penne'], ['boscaiola'], ['situation'], ['tomato'], ['sauce', 'creamy', 'bacony'], ['mushroomy'], ['goodness'], ['simple', 'meal', 'work'], ['wine'], ['merlotdominant', 'blend'], ['bordeaux'], ['earthy', 'note'], ['roast', 'turkey'], ['beef'], ['short', 'rib'], ['rustic', 'ratatouille'], ['braised', 'meat'], ['try'], ['boisterous', 'fruit'], ['chimichurri'], ['full', 'lush'], ['new', 'world'], ['style'], ['rack'], ['lamb'], ['veal', 'filet'], ['mignon'], ['peppercorn'], ['red', 'mmmmm', 'thing'], ['cork'], ['delicate', 'fish', 'dish'], ['light'], ['salad', 'super', 'spicy'], ['chili'], ['german']]"
59,,,,,,,,
60,montepulciano,medium-high acidity,11.5–13.5% ABV,medium-full body,dry,medium-high tannins,"['red plum', ' blackberry', ' dried thyme', ' baking spices', ' mesquite']","[['wine'], ['pair'], ['alongside', 'sausage'], ['kind'], ['smoked', 'andouille'], ['found', 'meat'], ['lover'], ['pizza'], ['sweet'], ['italian'], ['flavored', 'fennel']]"
61,moschofilero,medium-high acidity,11.5–13.5% ABV,medium-light body,off-dry,none tannins,"['potpourri', ' honeydew', ' pink grapefruit', ' lemon', ' almond']","[['anything'], ['high', 'tea'], ['cucumber'], ['sandwich', 'lox'], ['cream'], ['cheese', 'caper'], ['micro'], ['fruit'], ['tart'], ['pair']]"
62,,,,,,,,
63,muscadine,medium acidity,10–11.5% ABV,medium body,off-dry,medium tannins,"['ripe banana', ' yellow apple', ' lime peel', ' cranberry', ' rubber cement']","[['sweeter'], ['rendition'], ['grape'], ['flavourful', 'dessert'], ['trifle'], ['fruit'], ['custard'], ['brandy']]"
64,muscat blanc,medium-high acidity,Under 10% ABV,light body,off-dry,none tannins,"['orange blossum', ' meyer lemon', ' mandarin orange', ' pear', ' honeysuckle']","[['drier'], ['style'], ['pair'], ['salad', 'sushi'], ['fresh', 'fruit'], ['asti', 'excellent', 'almond'], ['cake'], ['fortified', 'muscat', 'taste'], ['great', 'cheese', 'nut']]"
65,muscat of alexandria,medium acidity,Under 10% ABV,medium body,sweet,none tannins,"['mandarin orange', ' honey', ' lychee', ' peach skin', ' white flowers']","[['match'], ['almond'], ['charcuterie', 'plate'], ['soft', 'pungent'], ['cheese']]"
66,nebbiolo,medium-high acidity,13.5–15% ABV,medium-full body,bone-dry,high tannins,"['cherry', ' rose', ' leather', ' anise', ' clay pot']","[['seek', 'dish'], ['fat', 'content'], ['cream'], ['cheese', 'counteract'], ['intense', 'tannin'], ['like', 'truffle'], ['risotto'], ['butternut'], ['ravioli'], ['revelation']]"
67,negroamaro,medium acidity,13.5–15% ABV,medium-full body,dry,medium-high tannins,"['black cherry', ' black plum', ' blackberry', ' prune', ' dried thyme']","[['blend'], ['barbecue'], ['chicken'], ['pizza'], ['pulled', 'pork'], ['sandwich'], ['teriyaki'], ['caramelized', 'food'], ['sweetness', 'wine']]"
68,nerello mascalese,medium-high acidity,11.5–13.5% ABV,medium-light body,bone-dry,medium tannins,"['dried cherry', ' orange zest', ' dried thyme', ' allspice', ' crushed gravel']","[['nerello'], ['mascalese'], ['lighter', 'meat'], ['poultry'], ['pork'], ['roasted', 'tomato'], ['red', 'pepper'], ['spice'], ['like', 'oregano'], ['thyme'], ['coriander'], ['sage']]"
69,,,,,,,,
70,norton,medium acidity,13.5–15% ABV,medium-full body,dry,medium-high tannins,"['black currant', ' black cherry', ' dill', ' black pepper', ' chocolate']","[['american', 'wine'], ['venison', 'beef'], ['blackened', 'fish', 'bright', 'acidity'], ['fuller'], ['body'], ['place'], ['cabernet'], ['sauvignon']]"
71,,,,,,,,
72,palomino fino,medium-high acidity,10–11.5% ABV,light body,bone-dry,none tannins,"['lemon', ' jackfruit', ' almond', ' saline', ' mushroom']","[['fino'], ['style'], ['sherry'], ['behave', 'white', 'wine'], ['come'], ['oloroso', 'function'], ['red', 'amontillado'], ['vary', 'let'], ['salinity'], ['weight', 'guide']]"
73,,,,,,,,
74,petit verdot,medium acidity,13.5–15% ABV,full body,dry,high tannins,"['black cherry', ' plum', ' violet', ' lilac', ' sage']","[['boisterous', 'wine'], ['shorter'], ['finish'], ['roasted', 'meat'], ['pungent'], ['note'], ['cuban'], ['style'], ['pork'], ['blue', 'cheese']]"
75,pinotage,low acidity,Over 15% ABV,full body,dry,medium-high tannins,"['black cherry', ' blackberry', ' fig', ' menthol', ' roasted meat']","[['try'], ['roasted', 'meat'], ['vegetable'], ['topped', 'flavorful', 'sauce'], ['teriyaki'], ['plum'], ['barbecue']]"
76,refosco,medium-high acidity,11.5–13.5% ABV,medium-full body,dry,medium tannins,"['dried herbs', ' dried cherry', ' espresso', ' anise', ' smoke']","[['cured', 'meat'], ['game'], ['roasted', 'fare'], ['spiced', 'dish', 'work'], ['red']]"
77,ribolla gialla,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['baked apple', ' tangerine', ' citrus', ' beeswax', ' thyme']","[['acidity'], ['wine'], ['deep'], ['fried', 'seafood'], ['lemon'], ['caper'], ['veal'], ['piccata'], ['fresh', 'salad', 'mussel'], ['white', 'garlic', 'sauce']]"
78,riesling,high acidity,Under 10% ABV,light body,off-dry,none tannins,"['lime', ' green apple', ' beeswax', ' jasmine', ' petroleum']","[['offdry', 'wine'], ['make', 'great', 'pairing'], ['spicy'], ['indian', 'asian', 'cuisine'], ['alongside', 'duck'], ['pork'], ['bacon'], ['shrimp'], ['crab']]"
79,pinot noir,medium-high acidity,11.5–13.5% ABV,medium body,dry,low tannins,"['cherry', ' raspberry', ' mushroom', ' clove', ' hibiscus']","[['versatile'], ['food'], ['wine'], ['high', 'acidity'], ['tannin'], ['pinot'], ['noir', 'pair'], ['particularly', 'well', 'duck'], ['chicken'], ['pork'], ['mushroom']]"
80,rkatsiteli,high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['pineapple', ' lime', ' resin', ' tarragon', ' fennel']","[['rkatsitelli'], ['pair'], ['lebanese'], ['turkish'], ['iranian'], ['indian', 'cuisine'], ['spiced', 'meat'], ['aromatic', 'rice'], ['lentil', 'bean', 'dip'], ['smoked', 'eggplant']]"
81,roussanne,medium acidity,13.5–15% ABV,medium body,dry,none tannins,"['meyer lemon', ' apricot', ' beeswax', ' chamomile', ' brioche']","[['producer'], ['u'], ['oakaged', 'wine'], ['reminiscent', 'style'], ['opt'], ['meat'], ['like', 'lobster'], ['crab'], ['foie']]"
82,petite sirah,medium acidity,Over 15% ABV,full body,dry,high tannins,"['sugarplum', ' blueberry', ' dark chocolate', ' black pepper', ' black tea']","[['given', 'wine'], ['aggressive', 'tannin'], ['petite'], ['sirah'], ['matched', 'fat', 'umami', 'steak'], ['grill'], ['plate'], ['beef'], ['stroganoff']]"
83,picpoul,high acidity,11.5–13.5% ABV,light body,dry,none tannins,"['green apple', ' citrus blossom', ' lemon', ' thyme', ' saline']","[['great', 'choice'], ['fried', 'appetizer'], ['seafood', 'raw', 'oyster'], ['sushi'], ['mediterraneanthemed', 'fish', 'dish'], ['calamari']]"
84,pinot blanc,medium acidity,13.5–15% ABV,light body,dry,none tannins,"['pear', ' peach', ' raw almond', ' lemon zest', ' crushed gravel']","[['wine'], ['like', 'pinot'], ['blanc'], ['suited', 'food'], ['subtle'], ['flavoring'], ['match'], ['soft', 'cheese'], ['salad', 'cream'], ['flaky', 'fish']]"
85,pinot gris,medium-high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['white peach', ' lemon zest', ' cantalope', ' raw almond', ' crushed gravel']","[['pinot'], ['gris'], ['work'], ['white', 'meat'], ['meal'], ['include', 'fruit', 'element'], ['lemon'], ['orange'], ['peach'], ['apricot']]"
86,pinot meunier,medium-high acidity,10–11.5% ABV,medium-light body,bone-dry,low tannins,"['tart cherry', ' pomegranate', ' potting soil', ' mushroom', ' rose']","[['pinot'], ['related', 'noir'], ['pair', 'similar', 'thing'], ['pork'], ['roast', 'duck'], ['mushroom'], ['grilled', 'vegetable']]"
87,sagrantino,medium-high acidity,13.5–15% ABV,full body,bone-dry,high tannins,"['plum sauce', ' licorice', ' black tea', ' black olive', ' black pepper']","[['super', 'high', 'tannin'], ['astringency'], ['look', 'dish', 'feature'], ['fat'], ['umami', 'earthy', 'sausage'], ['wild', 'mushroom'], ['cheese'], ['match']]"
88,sangiovese,medium-high acidity,13.5–15% ABV,medium-full body,bone-dry,medium-high tannins,"['cherry', ' roasted tomato', ' sweet balsamic', ' oregano', ' espresso']","[['high', 'acidity'], ['wine', 'make', 'versatile', 'wide', 'variety'], ['vegetable'], ['food'], ['think', 'tomato'], ['red', 'pepper'], ['anything']]"
89,sauvignon blanc,high acidity,11.5–13.5% ABV,medium-light body,dry,none tannins,"['gooseberry', ' honeydew', ' grapefruit', ' white peach', ' passion fruit']","[['doubt'], ['green', 'sauvignon', 'blanc'], ['make', 'wonderful', 'choice'], ['chicken', 'tofu'], ['fish', 'dish'], ['matched', 'feta', 'chèvre'], ['paired', 'asian', 'flavor'], ['thai'], ['vietnamese', 'cuisine'], ['meat'], ['wine'], ['light'], ['try'], ['chicken'], ['turkey'], ['pork'], ['halibut'], ['crab'], ['lobster'], ['haddock'], ['bass'], ['cod'], ['salmon'], ['oyster'], ['w'], ['mignonette'], ['calamari'], ['cheese'], ['seek', 'soft', 'flavorful'], ['warm', 'goat'], ['salad'], ['burrata'], ['mozzarella'], ['di'], ['caprese', 'gouda'], ['feta', 'parmesan', 'ricotta'], ['salata'], ['yogurt'], ['crème'], ['fraîche'], ['sour', 'cream'], ['vegetable'], ['inspiration'], ['include', 'cucumber'], ['dill'], ['salad', 'fried'], ['zucchini'], ['asparagus'], ['risotto'], ['greek'], ['pasta'], ['try'], ['green', 'pea'], ['arugula'], ['tomato'], ['artichoke', 'lemon', 'lime'], ['bell'], ['eggplant', 'leek', 'bean'], ['spice'], ['herb'], ['mint'], ['dill'], ['cilantro', 'chive', 'rosemary', 'basil'], ['thyme'], ['bay'], ['leaf'], ['caper'], ['pesto'], ['garlic', 'green', 'olive']]"
90,savatiano,medium-low acidity,11.5–13.5% ABV,medium body,dry,none tannins,"['green apple', ' honeydew', ' lime zest', ' lemon curd', ' resin']","[['unique', 'white', 'subtle', 'resinous', 'note'], ['ability'], ['heavily', 'marinated', 'meat'], ['polynesian', 'mexican', 'caribbean'], ['cuisine']]"
91,schiava,medium-high acidity,10–11.5% ABV,medium-light body,dry,low tannins,"['strawberry', ' raspberry', ' rose candy', ' lemon', ' smoke']","[['shrimp'], ['chicken'], ['tofu'], ['southeast', 'asian', 'cuisine'], ['feature'], ['basil'], ['ginger'], ['galangal', 'aromatic', 'herb']]"
92,,,,,,,,
93,,,,,,,,
94,st. laurent,medium-high acidity,11.5–13.5% ABV,medium body,dry,low tannins,"['raspberry', ' blackberry', ' sweet tobacco', ' baking spices', ' chocolate']","[['lighter', 'body'], ['notable'], ['soft', 'tannin'], ['beg'], ['richly', 'flavoured', 'food'], ['roast'], ['duck'], ['mushroom'], ['risotto'], ['cured', 'meat']]"
95,syrah,medium acidity,13.5–15% ABV,full body,dry,medium-high tannins,"['blueberry', ' black plum', ' milk chocolate', ' tobacco', ' green peppercorn']","[['darker'], ['meat'], ['exotic', 'spice'], ['bring'], ['fruit'], ['note'], ['try'], ['lamb'], ['shawarma', 'gyro'], ['asian', 'pork'], ['indian', 'tandoori']]"
96,tannat,medium acidity,13.5–15% ABV,full body,dry,high tannins,"['black currant', ' plum', ' licorice', ' smoke', ' cardamom']","[['astringent', 'quality'], ['find', 'pair'], ['well', 'alongside', 'richly', 'marinated', 'barbecue'], ['grilled', 'meat'], ['vegetable']]"
97,tempranillo,medium-high acidity,13.5–15% ABV,medium-full body,dry,medium-high tannins,"['cherry', ' dried fig', ' cedar', ' tobacco', ' dill']","[['bolder'], ['aged', 'wine', 'pair'], ['steak', 'gourmet'], ['burger'], ['rack'], ['lamb'], ['style'], ['match'], ['baked', 'pasta'], ['tomatobased', 'dish']]"
98,,,,,,,,
99,touriga franca,medium-high acidity,13.5–15% ABV,medium body,dry,medium-high tannins,"['blackberry sauce', ' pomegranate', ' graphite', ' rose petal', ' pink peppercorn']","[['rustic', 'cut'], ['red', 'meat'], ['game'], ['earthy'], ['funk', 'wine', 'think'], ['roasted', 'fare']]"
